"Condiments: Retail Prices of Agricultural Commodities"

"Geolocation","Commodity","1990 January","1990 February","1990 March","1990 April","1990 May","1990 June","1990 July","1990 August","1990 September","1990 October","1990 November","1990 December","1990 Annual","1991 January","1991 February","1991 March","1991 April","1991 May","1991 June","1991 July","1991 August","1991 September","1991 October","1991 November","1991 December","1991 Annual","1992 January","1992 February","1992 March","1992 April","1992 May","1992 June","1992 July","1992 August","1992 September","1992 October","1992 November","1992 December","1992 Annual","1993 January","1993 February","1993 March","1993 April","1993 May","1993 June","1993 July","1993 August","1993 September","1993 October","1993 November","1993 December","1993 Annual","1994 January","1994 February","1994 March","1994 April","1994 May","1994 June","1994 July","1994 August","1994 September","1994 October","1994 November","1994 December","1994 Annual","1995 January","1995 February","1995 March","1995 April","1995 May","1995 June","1995 July","1995 August","1995 September","1995 October","1995 November","1995 December","1995 Annual","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual","1997 January","1997 February","1997 March","1997 April","1997 May","1997 June","1997 July","1997 August","1997 September","1997 October","1997 November","1997 December","1997 Annual","1998 January","1998 February","1998 March","1998 April","1998 May","1998 June","1998 July","1998 August","1998 September","1998 October","1998 November","1998 December","1998 Annual","1999 January","1999 February","1999 March","1999 April","1999 May","1999 June","1999 July","1999 August","1999 September","1999 October","1999 November","1999 December","1999 Annual","2000 January","2000 February","2000 March","2000 April","2000 May","2000 June","2000 July","2000 August","2000 September","2000 October","2000 November","2000 December","2000 Annual","2001 January","2001 February","2001 March","2001 April","2001 May","2001 June","2001 July","2001 August","2001 September","2001 October","2001 November","2001 December","2001 Annual","2002 January","2002 February","2002 March","2002 April","2002 May","2002 June","2002 July","2002 August","2002 September","2002 October","2002 November","2002 December","2002 Annual","2003 January","2003 February","2003 March","2003 April","2003 May","2003 June","2003 July","2003 August","2003 September","2003 October","2003 November","2003 December","2003 Annual","2004 January","2004 February","2004 March","2004 April","2004 May","2004 June","2004 July","2004 August","2004 September","2004 October","2004 November","2004 December","2004 Annual","2005 January","2005 February","2005 March","2005 April","2005 May","2005 June","2005 July","2005 August","2005 September","2005 October","2005 November","2005 December","2005 Annual","2006 January","2006 February","2006 March","2006 April","2006 May","2006 June","2006 July","2006 August","2006 September","2006 October","2006 November","2006 December","2006 Annual","2007 January","2007 February","2007 March","2007 April","2007 May","2007 June","2007 July","2007 August","2007 September","2007 October","2007 November","2007 December","2007 Annual","2008 January","2008 February","2008 March","2008 April","2008 May","2008 June","2008 July","2008 August","2008 September","2008 October","2008 November","2008 December","2008 Annual"
"PHILIPPINES","Garlic",111.01,96.91,77.69,74.56,70.82,71.81,72.01,69.90,70.18,74.73,74.25,79.26,78.47,83.08,82.49,79.67,78.87,82.70,86.50,95.24,118.59,150.30,155.70,165.04,181.33,113.28,196.75,164.56,125.35,113.48,132.19,138.21,155.95,156.21,155.82,159.31,153.15,153.97,150.41,151.16,132.73,112.30,110.04,111.95,112.23,111.56,129.93,132.25,131.52,133.51,131.01,124.74,129.85,127.22,127.28,114.60,115.66,81.99,121.43,124.96,128.23,131.39,170.05,177.85,129.08,187.00,175.29,147.42,125.34,127.86,133.05,167.87,181.82,208.08,239.97,260.87,255.46,188.79,301.25,248.80,206.51,197.86,199.53,208.13,233.62,214.65,208.76,198.10,197.08,199.59,217.82,192.47,178.62,162.18,160.53,152.52,153.58,152.47,146.59,148.11,145.26,152.96,156.07,158.51,159.06,156.62,153.58,158.56,178.06,195.73,196.26,192.88,200.66,216.31,240.80,248.27,190.68,223.41,245.43,224.63,172.63,219.64,215.91,214.26,217.51,215.78,214.38,219.71,223.95,217.05,228.62,225.08,200.47,184.47,182.17,181.71,176.71,174.56,165.78,157.21,164.93,159.06,182.17,160.19,149.68,148.84,139.64,133.59,186.72,157.74,159.13,167.99,168.19,166.82,163.50,154.64,184.06,181.19,167.49,160.69,149.24,138.33,154.38,151.60,133.93,129.72,128.08,129.39,150.14,128.61,127.97,125.49,118.40,123.31,123.08,122.39,118.42,116.88,118.20,118.72,123.31,122.14,121.64,114.87,111.56,111.01,109.87,110.92,109.12,109.65,107.02,108.48,109.40,112.32,111.28,113.78,113.35,112.10,110.90,112.16,121.19,129.96,133.50,137.32,148.11,154.97,166.75,128.03,172.83,172.29,164.31,166.43,173.08,172.74,171.15,170.99,171.15,176.72,177.48,178.57,172.16,178.62,176.01,168.00,157.91,156.49,158.27,160.81,158.29,162.49,161.47,162.21,166.47,163.60,161.74,158.48,154.19,152.52,148.43,153.51,147.92,142.64,144.23,146.59,146.28,147.48,150.56
"PHILIPPINES","Ginger Hawaiian",12.28,11.39,10.60,11.84,12.31,13.06,13.28,14.04,15.80,16.14,15.93,15.46,13.69,14.46,13.52,12.88,12.99,13.87,16.01,18.25,18.44,19.58,19.18,18.69,17.80,16.23,17.42,16.38,16.88,18.89,23.47,27.42,28.29,29.55,29.38,26.45,28.18,24.48,23.90,20.04,18.82,18.51,21.20,21.55,24.14,25.58,25.24,24.27,23.65,24.89,21.47,22.46,19.63,18.20,17.15,16.59,16.26,16.41,17.01,16.58,16.72,16.46,16.06,15.75,16.89,15.30,15.68,14.11,13.99,14.96,16.22,16.79,17.54,18.86,19.74,20.90,20.97,17.02,20.68,20.18,19.77,23.40,26.76,31.83,32.61,40.15,42.22,39.62,37.50,36.14,30.91,35.61,35.73,44.56,69.31,92.51,99.04,97.31,93.53,91.42,77.00,67.03,58.49,70.98,54.79,51.82,54.19,75.39,90.84,100.31,94.45,88.91,84.64,74.18,56.52,48.19,72.72,40.86,37.12,32.71,31.45,30.29,30.12,28.25,27.88,27.12,26.95,25.68,24.50,30.19,23.20,21.74,20.81,20.48,21.42,20.78,22.10,22.21,22.55,23.00,23.99,24.51,22.22,23.93,22.73,22.23,23.39,25.93,29.39,32.90,32.50,34.77,35.19,34.24,32.86,29.18,34.43,31.53,35.20,53.32,64.27,67.99,64.53,57.18,51.43,46.58,43.36,40.72,49.42,38.72,37.53,36.74,43.55,52.94,53.74,50.75,48.20,44.80,43.89,40.50,39.38,44.27,36.48,33.91,33.09,34.21,36.05,37.41,37.61,36.78,36.56,36.85,35.07,34.49,35.73,33.17,31.52,30.54,30.30,30.52,30.87,32.20,33.10,33.24,34.41,33.01,32.30,32.11,30.31,28.80,28.00,26.99,27.97,27.49,27.83,28.46,28.28,29.30,29.90,29.96,28.61,29.22,28.50,27.94,29.87,34.04,38.89,41.65,44.96,49.35,50.49,50.96,50.76,39.89,51.62,51.42,59.57,80.96,115.45,113.00,103.74,92.58,92.10,88.48,78.02,72.49,83.15
"PHILIPPINES","Onion Red Creole (Bermuda red)",22.46,20.27,18.87,16.25,12.24,10.59,14.01,15.93,20.14,21.42,24.55,33.64,19.29,28.98,26.16,23.93,18.07,17.14,21.09,25.29,28.03,31.92,34.32,37.48,44.46,28.20,43.11,32.90,19.02,16.58,18.42,22.07,26.05,28.07,27.28,27.49,27.48,26.94,26.28,25.54,24.10,22.92,18.53,16.87,20.36,21.90,22.91,25.12,28.56,41.54,41.79,25.87,41.88,39.56,34.45,23.76,27.92,37.11,39.29,39.24,38.89,38.75,40.30,40.61,36.90,36.64,29.93,21.92,21.45,22.53,23.23,25.79,26.45,26.36,26.34,25.98,26.47,26.21,34.18,32.30,29.82,27.17,26.71,34.91,36.50,36.99,37.67,48.20,53.29,64.59,38.53,64.47,49.36,31.75,25.71,23.54,24.53,27.63,28.34,28.56,28.38,29.78,36.36,32.81,34.90,30.45,29.52,37.98,57.15,65.59,60.36,57.75,67.74,87.31,93.00,91.19,60.01,98.34,105.48,73.84,57.32,57.25,63.42,63.84,60.53,58.21,56.30,55.09,55.27,65.93,50.34,38.93,30.92,28.71,31.38,32.85,33.83,36.46,47.36,55.50,62.47,71.19,43.14,70.21,72.04,56.02,48.88,57.47,62.38,60.57,58.72,58.60,59.85,61.68,70.51,61.10,64.48,43.58,37.08,30.43,25.75,26.12,31.83,33.52,33.32,35.95,46.81,49.07,37.91,50.86,49.78,37.43,32.12,34.10,38.08,41.36,43.39,45.49,47.21,48.08,50.93,43.22,48.67,39.09,31.00,32.47,34.36,38.15,41.60,40.84,40.97,40.93,40.64,51.72,39.99,56.53,54.58,45.27,41.06,48.30,53.33,53.89,62.66,70.75,75.34,77.54,77.03,59.74,73.58,66.45,59.77,57.02,60.48,62.98,61.34,61.12,65.98,80.73,86.72,79.75,67.94,66.38,58.35,48.02,38.40,36.78,39.23,42.71,45.50,50.14,52.38,62.76,86.33,52.12,133.08,77.63,54.76,58.31,84.41,90.29,88.77,91.06,91.63,90.92,87.15,81.16,85.66
"PHILIPPINES","Onion White (Yellow granex)",17.06,14.59,12.45,11.15,10.23,9.90,12.26,12.99,15.30,16.50,18.82,27.39,13.18,19.89,17.64,15.36,12.51,12.84,16.80,21.26,23.38,27.37,29.60,27.21,36.69,18.73,28.24,18.18,13.24,11.83,14.08,17.12,22.37,24.11,25.65,26.03,..,23.00,20.35,18.10,15.66,13.89,13.49,14.35,17.69,18.86,22.41,24.31,26.27,31.63,28.49,17.13,32.98,28.08,20.16,17.37,23.86,29.78,37.30,35.80,36.21,37.95,37.58,37.21,28.05,23.77,17.69,14.90,14.16,16.03,17.78,19.06,21.92,23.16,23.54,24.21,20.71,18.27,25.97,22.28,19.88,17.61,19.04,25.91,27.24,28.91,29.90,34.14,42.37,49.35,28.55,42.63,29.92,22.66,18.99,18.65,20.33,22.43,22.75,23.30,23.65,24.22,28.56,24.51,25.16,19.25,18.46,28.02,42.21,50.99,51.91,51.40,56.99,69.36,71.25,70.90,43.77,71.83,71.83,46.98,41.74,42.73,47.78,47.41,44.58,43.49,42.85,42.16,41.30,47.97,38.88,30.59,23.57,23.02,28.16,28.69,29.85,31.46,38.74,43.61,46.02,49.03,34.05,47.76,46.22,37.86,38.15,46.81,53.23,47.39,43.97,43.29,43.28,43.93,46.59,44.86,42.99,34.00,25.76,24.89,22.55,23.03,26.28,25.23,30.27,30.37,37.55,38.71,30.34,39.82,34.38,27.08,26.42,30.17,33.75,34.40,34.63,35.78,36.71,37.48,39.80,34.01,36.10,28.65,22.75,24.76,26.78,32.90,38.07,37.63,37.80,37.29,36.31,40.58,33.00,45.03,43.79,37.22,34.56,40.28,44.54,44.16,46.13,49.49,49.49,50.39,51.28,44.62,48.70,46.88,49.18,46.71,47.36,47.48,46.45,45.84,50.63,65.04,69.34,62.20,51.88,55.50,48.97,40.22,34.53,35.30,40.89,51.12,56.32,63.46,72.48,75.22,80.92,52.15,88.52,62.71,48.07,51.94,74.32,78.54,78.08,78.30,75.76,72.63,67.34,64.01,69.82
"..NATIONAL CAPITAL REGION (NCR)","Garlic",116.08,93.26,74.28,73.65,74.28,75.89,74.00,73.88,75.26,74.73,77.18,82.15,80.01,84.60,81.54,78.07,80.95,84.02,86.21,97.80,143.88,171.34,172.38,174.30,189.74,117.84,206.64,178.92,118.91,111.25,123.89,154.07,163.51,158.68,..,..,..,..,151.98,153.57,135.29,109.16,114.04,113.24,113.40,111.59,261.18,277.53,255.64,266.66,268.25,181.63,266.16,261.96,286.13,231.64,248.66,247.10,248.19,244.84,240.75,255.52,335.42,315.27,265.14,324.83,315.97,248.88,238.70,240.62,252.92,274.56,311.88,347.60,388.30,429.55,439.92,314.45,486.81,449.99,386.17,342.09,326.94,335.01,450.14,388.59,382.76,356.41,330.94,341.63,383.60,337.98,332.65,329.77,326.46,490.14,334.06,336.28,338.25,340.24,339.46,350.29,361.56,344.14,351.83,356.91,349.81,351.40,392.90,368.95,409.64,384.08,377.80,370.69,382.79,377.12,373.06,376.30,377.06,376.31,377.61,376.94,376.40,376.64,406.55,375.76,375.30,376.76,375.22,379.08,377.83,376.59,378.17,375.64,377.22,375.59,369.02,368.92,353.30,311.78,319.49,255.94,352.93,290.55,258.60,257.40,262.20,267.80,255.00,258.00,261.00,263.40,262.80,266.40,264.00,263.40,268.20,271.80,264.00,265.20,240.60,233.40,239.40,233.40,130.43,126.59,121.18,118.48,210.46,116.43,121.79,116.88,127.25,122.63,118.02,116.91,113.86,112.40,114.28,115.16,115.68,117.48,117.03,114.45,111.82,106.69,104.70,105.63,102.70,100.45,96.50,99.35,99.90,101.15,104.83,98.61,98.07,101.54,99.78,101.96,117.10,125.15,119.75,123.89,147.63,156.63,170.23,119.25,172.78,170.63,162.18,163.68,160.85,164.94,167.67,165.74,164.90,171.11,175.35,176.75,168.21,174.40,175.27,171.59,156.60,144.24,139.14,143.56,138.90,139.96,142.15,137.59,142.51,149.54,114.51,148.41,149.07,142.04,140.73,145.65,144.29,139.28,144.55,145.58,146.22,147.22,141.89
"..NATIONAL CAPITAL REGION (NCR)","Ginger Hawaiian",13.98,13.00,12.75,12.31,13.14,14.32,14.82,17.19,20.19,20.34,20.15,18.88,15.94,17.27,16.06,15.38,15.83,16.84,20.93,23.61,24.51,28.67,28.07,23.56,20.68,20.92,20.68,20.04,20.06,24.09,29.00,33.73,35.23,37.85,38.41,31.58,32.20,26.28,29.10,25.67,24.02,23.72,24.91,27.01,30.45,33.34,33.16,32.74,30.07,28.60,26.90,28.38,25.12,22.96,21.50,20.54,20.44,20.31,21.80,20.17,21.54,20.43,20.04,19.50,21.20,19.48,18.60,18.09,18.90,19.70,21.25,22.29,24.92,26.47,26.20,32.77,27.82,22.37,29.62,29.43,27.74,37.83,43.15,44.38,45.93,59.29,63.62,55.59,45.70,44.12,43.30,49.12,49.53,65.70,98.40,111.66,127.78,128.67,123.36,121.97,84.20,71.67,71.42,91.06,72.25,67.27,70.08,94.19,109.46,109.89,104.34,99.42,98.28,84.94,63.81,52.98,83.50,51.40,49.40,45.45,44.75,44.89,44.95,38.73,39.41,37.20,32.85,33.47,32.05,41.06,31.17,29.33,27.36,27.05,27.98,27.81,29.07,27.64,27.77,28.53,33.25,31.83,29.03,34.83,32.55,31.32,32.10,37.60,40.11,41.87,42.51,47.91,49.44,45.77,43.76,39.89,45.44,32.50,46.93,79.78,90.07,80.52,66.91,54.77,52.62,48.22,46.72,44.46,57.90,43.49,42.63,42.94,51.37,60.86,60.86,54.78,52.09,48.21,48.21,46.44,44.09,49.87,41.58,37.97,35.99,37.72,39.56,43.03,41.76,41.53,41.08,42.62,41.73,40.97,40.52,40.79,40.41,36.85,35.14,34.72,31.37,36.34,36.18,36.91,42.37,37.47,35.10,36.92,33.32,32.11,32.19,30.98,30.78,30.72,31.25,31.36,31.76,32.27,34.22,34.13,32.08,33.31,32.11,29.70,29.66,31.93,42.06,44.21,48.24,58.42,62.83,63.36,61.67,44.74,66.68,66.64,77.24,98.86,141.49,121.88,108.81,88.27,105.75,107.35,88.79,78.91,96.48
"..NATIONAL CAPITAL REGION (NCR)","Onion Red Creole (Bermuda red)",19.60,18.49,18.45,13.39,10.41,9.52,13.29,14.92,18.51,18.36,23.64,29.52,17.27,23.28,24.95,21.21,15.08,16.25,20.43,24.16,26.23,29.04,30.68,33.94,44.51,25.61,39.78,28.12,15.60,15.07,17.45,20.22,26.67,26.94,26.63,25.87,25.79,24.39,24.38,23.90,23.05,21.95,17.04,15.45,19.36,20.97,21.94,25.12,29.33,43.52,38.64,25.02,42.12,38.04,25.53,20.85,30.55,38.86,39.03,38.80,38.15,37.52,38.65,37.51,35.47,35.60,25.41,17.81,19.00,20.41,21.71,23.84,25.03,23.71,24.97,24.12,25.13,23.79,31.22,30.92,27.94,25.21,26.33,35.77,35.41,35.58,36.49,48.48,51.71,67.90,37.91,64.59,45.18,27.21,23.17,22.73,23.14,26.84,26.99,27.23,25.87,28.48,36.49,32.02,33.47,28.66,27.62,40.55,61.21,65.51,57.69,55.59,68.24,82.48,87.03,88.50,59.44,110.93,125.89,64.02,51.01,54.17,66.86,63.33,59.07,56.30,54.64,52.78,54.60,66.32,48.45,34.94,25.54,24.65,30.91,33.34,34.02,36.75,48.73,55.37,62.66,74.57,42.61,70.97,79.91,47.23,44.45,58.57,62.77,58.47,57.32,57.80,59.72,61.66,78.48,61.31,66.43,33.45,29.55,26.26,23.47,23.39,28.26,29.37,30.05,32.59,47.32,44.89,34.57,53.95,47.11,30.77,25.81,30.54,34.32,36.37,38.84,40.53,41.16,42.95,48.65,38.86,44.64,29.82,23.47,28.20,31.55,37.22,39.92,36.24,38.49,37.38,36.87,55.78,36.73,59.48,54.49,39.72,35.53,47.55,49.89,47.69,60.08,66.43,70.60,72.74,74.47,56.61,69.32,57.00,50.92,48.89,57.28,59.97,59.51,59.53,63.19,77.59,82.46,76.67,63.56,65.09,47.85,36.20,28.20,30.68,36.56,40.50,42.63,46.10,47.84,58.30,87.36,46.93,145.19,61.28,44.31,51.93,78.53,78.50,77.13,84.04,82.60,83.68,81.56,78.97,78.51
"..NATIONAL CAPITAL REGION (NCR)","Onion White (Yellow granex)",13.57,10.28,8.91,8.30,8.65,9.43,13.34,13.52,15.29,14.53,16.44,29.01,11.69,17.67,13.78,11.20,9.51,13.28,17.37,20.10,22.49,26.40,30.84,34.52,41.14,17.61,19.93,14.02,11.20,10.27,13.68,17.23,23.37,25.38,26.59,30.26,..,22.11,19.46,16.24,13.93,12.18,12.05,14.13,17.66,18.06,20.18,24.43,27.68,..,..,17.65,33.92,26.11,16.23,15.91,26.17,30.43,34.91,36.28,38.10,61.13,55.38,40.46,34.59,20.46,13.22,11.76,12.33,14.51,16.21,16.29,19.58,20.48,17.29,..,31.67,15.64,27.51,19.71,17.52,15.66,19.37,26.90,27.08,27.71,28.09,38.14,45.00,60.06,24.23,41.21,24.31,19.72,17.18,17.19,20.85,23.01,23.37,22.98,22.34,24.69,32.31,23.44,24.80,17.19,17.57,30.77,43.90,50.86,54.37,54.50,57.51,71.33,71.37,67.22,45.31,70.10,68.88,38.26,39.20,41.05,48.27,46.04,43.56,42.37,42.17,41.20,40.33,45.82,36.72,25.83,18.84,20.06,28.80,31.03,31.82,33.08,40.17,43.35,46.01,44.48,33.10,45.01,41.07,30.42,38.89,48.86,48.94,40.44,37.80,37.50,38.48,38.85,41.09,39.87,38.75,25.65,24.40,21.39,20.25,21.54,24.96,25.95,27.69,29.23,37.97,39.16,27.97,38.19,30.69,21.62,22.46,27.78,31.79,29.86,29.62,31.68,32.14,33.15,36.11,30.02,32.91,22.23,17.69,19.74,23.36,33.91,38.57,37.27,37.85,36.15,32.52,35.95,30.84,42.08,41.22,33.60,31.91,40.51,41.95,39.10,37.81,38.62,39.43,40.89,40.13,38.94,38.43,40.04,47.42,43.37,42.80,43.08,41.38,40.82,46.59,65.19,65.84,55.20,47.49,50.23,41.51,31.36,28.27,33.99,42.04,60.97,66.09,70.54,86.49,74.49,73.76,53.22,72.83,53.76,37.39,42.93,65.57,60.55,66.86,66.18,60.12,53.62,47.24,45.48,56.32
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Garlic",115.54,96.36,79.00,74.00,73.31,77.72,95.26,97.99,95.99,..,104.14,100.94,91.84,99.40,92.96,94.88,101.92,100.74,104.64,111.37,132.74,157.68,171.96,184.70,207.50,130.04,220.10,149.21,111.63,127.05,130.00,141.46,156.51,167.13,161.18,161.62,162.34,162.42,154.22,152.77,123.38,109.24,118.00,135.61,130.70,114.63,115.11,117.99,120.93,120.82,120.98,123.35,119.77,113.76,105.43,104.71,106.81,109.61,112.68,114.34,133.14,126.60,164.26,174.40,123.79,177.70,137.36,115.34,113.28,141.61,140.19,154.72,168.50,182.44,225.74,261.79,291.86,172.40,303.68,215.87,156.77,171.59,189.88,177.29,179.31,163.99,160.22,157.44,160.79,174.32,184.26,173.34,150.43,137.09,143.50,149.41,128.04,115.32,107.29,104.80,102.39,112.23,116.78,128.38,130.92,124.97,129.75,139.13,160.11,196.10,207.71,206.59,206.31,215.06,239.97,246.23,166.97,269.03,230.66,218.47,196.31,202.30,196.91,192.78,190.82,194.27,197.46,206.36,226.34,198.60,246.38,186.72,153.92,152.05,138.50,141.90,145.26,136.32,128.56,123.94,134.40,141.79,152.48,130.19,124.22,117.67,121.68,131.52,138.56,152.77,161.58,153.33,156.90,163.03,159.41,142.57,170.62,175.08,155.30,129.88,125.38,131.90,127.97,129.22,127.46,125.90,127.70,131.43,138.15,132.26,116.02,112.07,112.42,114.42,114.15,116.26,115.78,102.64,120.18,122.53,120.11,116.57,117.96,105.44,96.31,104.48,99.90,99.73,102.11,101.91,102.47,103.39,108.19,107.19,103.89,106.30,105.33,100.92,101.68,105.41,115.00,125.83,128.66,148.39,150.96,171.11,206.90,128.22,208.80,186.95,180.19,186.03,186.10,184.91,171.77,177.15,174.74,210.46,202.06,197.35,188.56,200.31,175.88,163.73,135.69,130.50,155.83,159.03,153.59,149.48,143.86,133.50,154.04,155.03,147.00,147.68,133.36,131.73,135.81,131.72,137.86,140.63,124.93,119.87,121.96,131.16,133.69
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ginger Hawaiian",15.47,12.71,10.83,10.55,16.24,16.30,15.76,18.35,18.63,18.80,18.56,17.49,15.81,18.23,18.31,17.12,16.41,16.90,17.62,21.74,19.69,20.04,21.42,21.69,20.57,19.29,20.49,17.94,19.74,18.21,21.75,23.11,22.56,25.61,28.50,30.00,28.79,22.34,23.25,21.77,20.75,19.72,21.58,20.26,22.24,26.46,25.17,24.94,29.28,31.13,21.41,23.72,26.13,24.36,22.64,21.24,21.96,21.02,21.79,21.44,22.30,22.35,20.84,19.19,22.11,18.39,19.40,17.78,18.44,20.93,20.14,21.41,20.24,21.16,25.35,27.27,26.90,20.92,24.71,22.69,22.17,24.21,29.33,29.58,34.20,46.69,48.51,51.29,46.02,44.81,35.35,44.43,44.77,49.92,75.19,96.78,106.95,110.05,114.75,109.96,99.43,85.50,72.11,84.15,69.31,69.76,71.28,88.00,106.08,115.05,109.10,100.90,100.42,96.21,85.08,70.47,84.57,55.88,52.42,48.99,47.37,43.63,42.41,39.58,40.21,34.15,35.66,35.69,33.94,41.62,30.62,26.23,23.16,24.31,28.09,27.32,26.04,25.77,24.85,25.78,26.31,29.21,26.47,27.08,22.14,24.24,25.30,28.61,32.93,38.73,32.98,39.48,42.67,39.04,32.58,32.15,34.36,36.31,39.94,56.88,64.85,78.20,74.67,65.38,61.01,54.55,55.73,53.60,56.29,50.30,48.70,43.48,54.53,65.28,64.99,65.51,63.54,61.53,58.84,55.42,51.97,57.01,47.71,41.27,42.13,44.80,46.79,48.83,46.21,45.05,44.94,47.11,47.08,45.02,45.57,45.41,41.22,37.80,38.64,40.48,42.77,42.73,42.40,44.10,45.77,46.53,44.03,42.64,40.16,40.36,39.48,38.12,39.89,35.85,36.62,35.21,35.12,33.27,35.77,34.94,37.12,35.80,32.20,32.95,32.95,37.60,40.44,36.67,45.20,48.76,54.08,52.56,48.73,41.49,50.07,46.95,54.78,78.47,101.22,107.98,108.31,99.31,102.69,102.97,93.16,83.03,85.73
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion Red Creole (Bermuda red)",22.87,15.17,10.18,16.02,13.07,12.42,13.31,19.23,24.68,28.77,26.55,33.15,19.62,30.66,26.07,21.27,18.76,18.36,21.49,25.55,33.90,35.59,38.40,40.87,49.05,30.00,41.52,23.40,16.89,16.07,17.58,20.73,27.36,30.78,32.57,32.80,33.80,33.81,27.28,25.97,25.77,21.85,18.09,15.92,22.56,24.73,26.43,28.22,32.98,40.55,44.87,27.33,43.19,41.29,33.39,24.40,27.40,37.57,38.26,44.14,45.56,43.90,48.33,73.86,41.77,38.12,32.58,23.54,19.54,24.01,24.79,30.38,32.53,28.85,28.93,29.69,27.48,28.76,32.05,29.40,26.64,25.75,23.80,29.68,34.87,39.56,41.57,46.05,50.11,57.92,36.45,52.86,47.45,31.63,28.57,29.57,29.98,31.16,31.10,33.00,32.80,31.78,36.45,34.70,35.52,31.17,30.45,38.43,50.71,63.87,62.50,59.30,67.28,86.76,92.39,87.55,57.48,85.15,78.53,75.27,64.99,59.93,58.11,60.82,58.48,55.30,52.57,48.63,51.81,60.90,48.00,42.98,36.62,31.83,36.89,37.28,38.44,37.43,45.69,53.13,53.24,54.54,43.01,51.51,52.14,48.51,45.93,48.75,52.30,52.87,52.40,44.10,44.70,44.02,45.74,48.58,46.69,40.72,35.98,32.29,25.94,26.21,30.66,36.03,35.11,37.73,43.52,46.08,36.41,46.64,46.82,40.61,35.36,38.08,46.42,48.42,45.23,44.77,44.01,44.36,43.69,43.70,41.66,36.84,33.44,33.37,35.67,38.48,44.57,45.48,44.61,42.09,41.47,41.76,39.99,46.26,47.66,42.87,39.18,44.78,52.44,58.19,61.60,67.34,67.29,69.61,62.66,55.29,51.88,52.11,52.53,50.13,57.71,55.25,50.55,50.46,59.25,76.20,82.76,71.23,59.13,57.08,51.43,45.33,41.76,34.60,39.62,47.08,49.10,50.74,53.08,57.47,71.25,49.86,82.77,66.47,52.31,57.58,82.68,91.22,90.00,88.06,83.78,75.17,71.83,69.66,76.26
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Onion White (Yellow granex)",15.46,10.62,11.20,9.80,9.58,10.32,14.24,18.38,18.12,19.44,19.44,..,14.24,23.07,20.34,15.64,12.10,12.56,18.64,24.39,30.80,36.27,32.55,40.00,..,21.98,28.77,21.06,13.88,11.57,15.95,21.96,27.82,27.34,..,..,..,..,21.04,15.03,18.13,13.55,14.35,15.38,21.53,24.66,30.75,34.55,29.77,..,..,21.73,40.15,28.41,22.25,20.46,25.58,33.57,38.19,40.00,42.41,47.67,56.67,41.51,36.41,29.61,18.64,16.32,13.38,18.47,22.18,23.41,24.72,26.41,29.08,21.83,17.72,21.91,30.83,26.68,18.72,17.12,17.45,30.67,32.28,33.79,34.60,40.89,40.00,..,29.37,49.47,33.61,22.01,20.65,22.37,26.70,27.59,25.86,26.58,26.97,24.73,30.77,28.11,29.81,20.91,19.06,32.47,44.23,54.71,53.56,55.92,63.63,78.92,83.03,77.36,46.47,72.30,71.93,49.53,42.85,49.58,52.08,51.18,48.17,48.24,46.41,46.06,46.79,50.07,41.80,30.23,25.43,23.74,29.50,30.77,31.50,33.90,40.85,48.26,48.62,46.28,35.91,46.61,45.19,39.68,42.71,46.61,50.04,51.11,47.27,41.62,40.69,39.39,39.13,44.17,42.62,36.58,31.27,25.78,24.13,24.83,29.23,32.90,30.82,33.68,35.72,45.15,32.73,43.11,39.54,28.64,28.02,34.90,42.56,44.35,42.83,41.19,37.80,40.59,41.15,38.72,37.58,27.91,24.68,26.39,30.70,36.96,42.38,43.26,41.60,40.59,39.41,40.10,35.65,41.75,41.43,37.89,34.87,41.38,45.82,49.71,53.00,52.28,51.50,55.81,47.17,46.02,46.13,45.12,48.67,47.20,52.55,49.91,46.51,44.46,54.65,67.04,72.71,61.74,52.59,54.39,45.76,37.09,35.30,32.90,39.69,48.19,55.41,59.37,62.45,59.93,67.38,48.15,71.16,58.64,45.50,50.22,71.23,80.89,75.44,83.88,72.50,66.37,64.80,60.22,66.16
